id,word,question_type,question_instruction,question_text,choices,correct_choice,tip_short,tip_long,level,frequency
g0w~g8Sy9h,fault,Apply the Meaning,,Which of the following would be considered a fault?,a tendency to admire others | a taste for spicy foods | a tendency to exaggerate | a dislike of fussy clothing,a tendency to exaggerate,"In this question, fault is a noun that means the quality of falling short of perfection.","A fault is an error caused by ignorance, bad judgment or inattention. If you're a passenger, it might be your fault that your friend missed the exit, if you were supposed to be watching for it, not sleeping. Fault can mean ""blame"" — as a noun or verb. If you say, ""It's my fault,"" you accept the blame. Well, they can't fault you for telling the truth, at least. A fault can be a shortcoming — everyone has faults because no one is perfect — or a crack in the earth's crust, like the San Andreas Fault. In sports like tennis, a fault is an illegal hit of the ball, usually when it lands outside the playing area.",1,0.011235955
P$dxcSoZZ;,critical,Fill in the Blank,,"She played well that morning: even her own ________ ears were satisfied, and the Portier, repairing a window lock in an empty room below, was entranced.",uncaring | critical | domestic | immoral,critical,"In this question, critical is an adjective that means marked by a tendency to find and call attention to flaws.","The adjective critical has several meanings, among them, ""vital,"" ""verging on emergency,"" ""tending to point out errors,"" and ""careful."" If you're an emergency-room doctor with a patient in critical condition (on the highest alert), it's absolutely critical (vital or essential) that you be critical (careful and judicious) in your approach to their care, so that at the critical (decisive) moment, you can save their life. You must also be critical (that is, you must point out all the errors and flaws) of the jobs your colleagues are doing.",1,0.011627907
y9R9!0QBR^,magnify,Fill in the Blank,,But the tiny subjects underneath are ________ with sufficient resolution for an impromptu microscope.,dissolved | muddled | curbed | magnified,magnified,"In this question, magnify is a verb that means to make large.","To magnify is to make something bigger, whether in size or in significance. A magnifying glass makes things look bigger and when anything is magnified, it gets larger in some way. If your hunger is magnified, you've gotten hungrier. Wearing a heavy coat on a hot day will magnify the heat: you're feeling hotter and hotter. Also, non-physical things get magnified. The press could magnify a story by discussing it over and over, making it a bigger story than it was originally. All types of magnifying make things bigger.",6,0.001199041
r5wS1&KZGH,consequence,Fill in the Blank,,In a fragile market a poor sale can have serious ________.,populations | consequences | beneficences | ruiners,consequences,"In this question, consequence is a noun that means the outcome of an event.","Things in a sequence come one after another, as in a number sequence of 1, 2, 3, 4. A consequence comes after, or as a result of something you do, for example, ""He was given a traffic ticket as a consequence of running the red light."" A consequence is a ""result"" or ""conclusion,"" and the Latin sequī, ""to follow,"" is part of its history. Most actions and acts of nature have a consequence that follows as a result. When people do something wrong, like rob a bank, the consequence will probably be prison time. If an organization works for good and finds a cure for cancer, on the other hand, people will get better as a consequence. When something occurs in nature, like a tornado touching down, destruction might be the consequence.",1,0.01369863
K{&lGhr$*g,uproar,Fill in the Blank,,"The place is in an ________, with doctors shouting orders and the wounded being wheeled through the halls in their beds.",uproar | epoch | inkling | anthem,uproar,"In this question, uproar is a noun that means a state of commotion and noise and confusion.","Any kind of noisy disturbance can be called an uproar. A large group of political protesters outside City Hall is likely to create an uproar. There's often an uproar in the audience of a rock concert when the band first appears on stage — people cheer and applaud and whistle. An announcement that the neighborhood donut shop is out of donuts could create another kind of uproar, especially if people have been standing in a long line dreaming of crullers and chocolate glazed donuts. Uproar comes from the German Aufruhr, ""a stirring up.""",6,0.001390821
NV/enSG}oR,former,Fill in the Blank,,"Lastly, he promised to bring similar public exposure to the thousands of public corporations controlled by the ministries, and that critics say are used to provide cushy retirement jobs for ________ bureaucrats.",entire | former | complete | patient,former,"In this question, former is an adjective that means of the immediate past.","Former refers to something that came at an earlier time, or before something else. For example, someone who believes in reincarnation might wonder about their former life — or even lives — before their present existence. When something or someone has changed, we can refer to them as former. For example, Mr. Smith's ex-wife could be known as the former Mrs. Smith. We could consider almost anything as former, as long as it comes first, before something else. A good way to remember the meaning of former is to consider that it comes from the Old English forma, which means ""first,"" and that both former and first begin with ""f.""",1,0.032258065
Pr!?>Drp;v,habit,Fill in the Blank,,"While it may seem like a fairly innocuous ________ -- most likely something you do when you're stressed, nervous, bored or perhaps even excited, often without even realizing it -- there can be ramifications, says Dupont Circle dermatologist Ella Toombs.",threat | habit | corner | stream,habit,"In this question, habit is a noun that means an automatic pattern of behavior in reaction to a situation.","Any action that you perform regularly as part of your routine can be called a habit. Flossing your teeth would be considered a good habit. Sucking your thumb would be considered a bad habit, especially as an adult. On New Year's people always vow to break their bad habits, but bad habits die hard. The noun habit can also refer to an established custom — like the habit of breaking bread with your family every holiday. On a completely different note, clothing that is worn for horseback riding, or by a nun or monk, can also be called a habit. All good nuns should be in the habit of washing their habits.",1,0.01754386
C{KW^.?ZSW,farming,Fill in the Blank,,"Coming from ________ family where everyone, including the women, worked beside the men in the fields, we were not afraid of mice or frogs.",a farming | a mining | an industrial | an untraditional,a farming,"In this question, farming is an adjective that means relating to rural matters.","Farming is the act or process of working the ground, planting seeds, and growing edible plants. You can also describe raising animals for milk or meat as farming. Farming is a great way to describe the lifestyle and work of people whose jobs are in the agriculture industry. People often have a romantic idea of what farming is like — roosters crowing, farmers driving tractors and milking goats — although farming can be very hard work, dependent on food prices and weather. The noun farm originally meant ""a lease on farm land,"" and it comes from the Medieval Latin firma, ""fixed payment.""",6,0.001344086
"Hz(,)[n9S(",search,Apply the Meaning,,"Of the following people, who is most likely to conduct a search?",a psychiatrist | a chef | a fashion designer | a detective,a detective,"In this question, search is a noun that means the examination of alternative hypotheses.","To search is to look for something. A search party is a group of people looking for something together. Their search may take a long time. If they're in the army, they might be on a mission to search and destroy. Search is one of the many words in English that have taken on a new meaning related to computers. To search the Web, or perform a search is to use a computer to find information on the Internet. The verb search is from Late Latin circare ""to travel through,"" from Latin circus ""circle."" The original meanings of this verb in English were to dig for something, then, to overrun or occupy by force.",1,0.018867925
"D#R6T2,|9,",professor,Fill in the Blank,,"Classes typically have fewer than 20 students, and most ________ prioritize teaching over research.",producers | governors | managers | professors,professors,"In this question, professor is a noun that means a member of the faculty at a college or university.","A professor is someone who teaches at a college or university. Professor is officially a teacher of the highest rank, above adjuncts and lecturers, but college students can call them all professor. The Latin origin of the word means “declare publicly,” and professors are responsible for publicly sharing their knowledge with the world, or at least with whoever can afford to pay them for lessons. Although anyone teaching college can be called a professor, it’s really a title that has to be earned by going to graduate school and moving up by being an assistant professor, then associate professor, and finally a full professor.",1,0.014285714
vmOOG$#+70,parson,Apply the Meaning,,Which of these is a duty of a parson?,repairing a pair of shoes | arresting criminals | putting out fires | giving a sermon,giving a sermon,"In this question, parson is a noun that means a person authorized to conduct religious worship.","Use the noun parson to describe a member of the clergy — a person with the authority to lead worship in a church or perform religious rites such as weddings and christenings. Historically, parson has been what Anglican church members call their minister or priest, but the term can also be used as a generic term for ""clergy member."" You might ask a parson to preside at your wedding, or to officiate at your grandmother's funeral, for example. Experts are uncertain about the exact origins of parson, although one theory says it's a shortened form of the Latin persona ecclesiae, ""person of the church.""",5,0.002183406
Mi`!X_s+;>,politics,Fill in the Blank,,"According to the Center for American Women in ________ at Rutgers University, women voters carried the day in seven Democratic races.",Finance | Politics | Engineering | Sports,Politics,"In this question, politics is a noun that means the study of government of states and other units.","Your friend who's obsessed with watching Congressional debates and listening to experts discuss the bills being voted on in the Senate has a keen interest in politics, or the details of governing or managing a state or a country. While politics usually refers to the government of a city, state, or country — or the relationship between countries — it can also be used to talk about the way people use their positions in a company or organization to gain power or authority. This is often called office politics. Another similar phrase is playing politics, which means doing something in order to become more powerful rather than doing what's right.",1,0.04
F(>DgAWS`[,instruct,Fill in the Blank,,"This method of whaling being quite new to our whalemen, it was necessary, at great cost, to hire American officers and harpooners to ________ them in the ways of dealing with these highly active and dangerous cetacea.",oblige | instruct | terminate | provoke,instruct,"In this question, instruct is a verb that means to make aware of.","This website is designed to instruct visitors about the meaning of words and their correct usage. To instruct is to give instructions, to teach. Teachers are often called instructors because their job is to instruct, to give knowledge or instructions. The subtle difference between ""teach"" and instruct is that you can teach almost anything: concepts, ideas, theories or, say, history. When you instruct someone, you're giving them a set of tools or tasks to do something specific. That's why furniture, toys, and model rocket kits come with instructions: they instruct you how to assemble them.",1,0.014492754
j0cBl8gfni,theology,Apply the Meaning,,Who would most likely be required to study theology?,a rabbi | a ballerina | an accountant | a surgeon,a rabbi,"In this question, theology is a noun that means the learned profession acquired by courses in religion.","Theology is the study of religion, plain and simple. Of course, religion isn’t simple, so theology covers a lot of subjects, like rituals, divine beings, the history of religions, and the concept of religious truth. Theology is taught to priests and ministers so they can better understand their religion, and it’s also taught in non-religious colleges to anyone who is curious about the ideas and effects of religion. The first half of theology is theo-, which means god in Greek. The suffix -logy means “the study of,” so theology literally means “the study of god,"" but we usually expand it to mean the study of religion more broadly.",3,0.003649635
ckb.|2h4*d,convert,Fill in the Blank,,"Metric measurements might befuddle many folks, so why not ________ them into customary U.S. dimensions?",drain | herald | agitate | convert,convert,"In this question, convert is a verb that means to change from one system to another or to a new plan or policy.","Think of the word convert as meaning ""change,"" whether it is a person who adopts a new belief, or a changing action, such as when you convert dollars into euros. Many times we can catch a word's meaning by looking at its origins. In this case, the Latin con means ""around,"" while vertere means ""turn."" So we can figure that convert means to ""turn around,"" an object or one's thoughts on an idea. For example, you might convert a meat eater into a vegetarian or an empty-nester might convert the kids' bedroom into an exercise room.",2,0.008474576
qTMp4/u~16,mysterious,Apply the Meaning,,Which of the following is best described as mysterious?,a ghostly shape at the window | a storm that blows out to sea | an expensive purse in a shop window | an odd-looking puppy on a leash,a ghostly shape at the window,"In this question, mysterious is an adjective that means beyond ordinary understanding.","Something that is mysterious has a secret-like quality that makes it hard to understand or define, like your mysterious answers that made your friends curious about what you were really up to. A dark shadow skims across the surface of lake...a strange disease makes a city's inhabitants violently ill...a large, hairy creature is spotted wandering in the woods. These situations are all mysterious because we don't know their causes. You can see the word mystery in mysterious. A mystery is a hidden or secret thing, so something that is mysterious takes effort to understand, unless it is beyond our comprehension.",2,0.007092199
x+g-6BS97w,custody,Fill in the Blank,,Gunn said he obtained full ________ of his son after he and his wife divorced.,chivalry | custody | charity | colony,custody,"In this question, custody is a noun that means guardianship over.","When you are legally responsible for another person, they are in your custody. Most parents have custody over their children. The word custody brings with it the meaning of care for. When someone is in your custody, it is not just that they reside with you, it is that you are responsible for taking good care of them. If you are arrested, you will be taken into police custody. While there in jail, it is their responsibility to protect you from harm.",6,0.001251564
"wd,w*zJKj-",duration,Fill in the Blank,,"This new study was small, relatively short in ________ and statistically complex, Buse explained.",invisibility | randomness | splendor | duration,duration,"In this question, duration is a noun that means continuance in time.","Duration is how long something lasts, from beginning to end. A duration might be long, such as the duration of a lecture series, or short, as the duration of a party. The noun duration has come to mean the length of time one thing takes to be completed. The duration of something might be known or not — in past times, the unknown length of time the current war would last was called ""the duration. ""Musical notes, such as whole notes, half notes, and quarter notes, have different set durations, or lengths of time for which they are held. These varying durations, when put together, create the rhythm of the music.",6,0.001512859
IA)gGw:qe!,diagnosis,Apply the Meaning,,Which of the following would most likely be considered a diagnosis?,&quot;You have cancer.&quot; | &quot;You are recovering.&quot; | &quot;You have an aptitude for math.&quot; | &quot;You are an expert.&quot;,&quot;You have cancer.&quot;,"In this question, diagnosis is a noun that means identifying the nature or cause of some phenomenon.","When a doctor tells you why you're feeling ill, he gives you a diagnosis. He asks questions, checks your symptoms, and then identifies what's making you sick. Diagnosis is a medical term, but you can diagnose lots of things: problems in a relationship, a coming economic crisis, or the reason the car won't start. If you have a sore throat, runny nose and a bad cough, most of the time doctors will diagnose a cold. If the car won't start and the lights and radio are also off, the diagnosis is simple: your battery’s dead. Anytime you determine the cause of a problem, you give a diagnosis.",6,0.001392758
FHk7QlSmKR,conclude,Fill in the Blank,,James ________ his nine-minute interview session by asking reporters if it was OK for him to leave.,duplicated | famished | medicated | concluded,concluded,"In this question, conclude is a verb that means to bring to a close.","The verb conclude means two related things: coming to a decision, and bringing to a close. Conclude is related to the word close, which is related to an old Latin word for ""barrier"" or ""bolt"" — the kind you put on a door. When you conclude something, it's as though you're pulling a door shut and bolting it. If your girlfriend concludes an argument by leaving the room and slamming the door, you can conclude that she's angry at you.",1,0.020833333
mu{c*~V!IW,convenient,Fill in the Blank,,"Not only was it ________ and affordable, but it was also more than just a kitchen facility.",domestic | liberal | convenient | potent,convenient,"In this question, convenient is an adjective that means suited to your comfort or purpose or needs.","If something is convenient, it adds to your comfort, causes little trouble, or is easy to use, do, or reach. If you live close to your job, that's convenient––it's very easy to get there and get home. This adjective descends from Middle English, from Latin conveniēns, from convenīre ""to be suitable, fit."" The basic meaning of Latin convenīre is ""to agree, meet, come together,"" and this is the source of English convene. The opposite of convenient is inconvenient, meaning making trouble or annoyance for you. The corresponding nouns are convenience and inconvenience.",2,0.008474576
d~O7=2}2Z),eclipse,Apply the Meaning,,Which of the following would most likely be a result of a solar eclipse?,being exposed to solar radiation | being able to harvest solar energy | not being able to see the moon | not being able to see the sun,not being able to see the sun,"In this question, eclipse is a noun that means the phenomenon when one celestial body obscures another.","Have you ever seen an eclipse? That's when the sun, earth or moon cross paths and cover each other up temporarily. A solar eclipse happens when the moon blocks our view of the sun for a bit. A lunar eclipse happens when the moon is on one side of the earth and the sun directly opposite, so the moon disappears. A TV eclipse, perhaps the most serious of all, is when your dad walks in at the most crucial part of the movie and blocks your view of the TV while he lectures about taking out the trash.",6,0.001538462
dZjoG1tOpx,administer,Fill in the Blank,,"Hundreds of colleges and universities ________ these surveys and tests to their students, but most of them don't publish the data.",attest | soothe | eliminate | administer,administer,"In this question, administer is a verb that means to direct the taking of.","When you administer something, you give it to others. This can apply to a dose of medicine, an order, a survey, or a punishment. Administer can also mean to run something — such as a school or an office. The word administer belongs to a family of words, all having to do with being in charge: administration, administrator, and administrative. Strangely, administer comes from the Latin word minister meaning ""servant."" So, if your boss or principal administers an instruction that you disagree with, just think of that person as your servant. Doing so will help you carry out your duties with a smile.",1,0.014705882
j;_0L=@RB7,major,Fill in the Blank,,Saudi Arabia has a ________ share of such exports and far higher profit margins on what it exports at current prices than most exporters.,fond | void | major | blurry,major,"In this question, major is an adjective that means greater in number or size or amount.","Something major is big, big, big! It's major, baby! It's large! Important! Intense! Powerful! Michael Jackson's album ""Thriller"" was major, eventually becoming the biggest-selling album of all time. A victory of 98 to 3 might well be called major. If you're a musician, you're probably also familiar with the difference between a minor scale and a major scale. A major scale sounds happy, while a minor one sounds sad. The discovery of life on another planet? Major. Getting into the college of your choice? Major. For everything else, there's ""ordinary.""",1,0.018518519
Dn0RZz;W.O,convey,Fill in the Blank,,"The water-works are at Fairmount, where there is a basin, from which pipes ________ the water to every part of the city.",exchange | convey | evaporate | purify,convey,"In this question, convey is a verb that means to transmit or serve as the medium for transmission.","When you convey something, you carry or deliver it. Little Red Riding Hood conveyed a basket of muffins to her grandmother. Your sad smile might convey more about your feelings than words ever could. You can also convey a message or information, which means that you communicate it to someone directly or indirectly through your words or actions. In law, the word convey means to transfer or pass property to someone. This verb is from Middle English conveyen, from Old French conveier, ultimately from the Latin prefix com- ""together"" plus via ""way.""",2,0.007092199
y5J]q58bm6,gentile,Fill in the Blank,,He is jubilant over the promised glories of God's people; he speaks of the redemption of both Jew and ________.,Proletarian | Despot | Gentile | Profligate,Gentile,"In this question, gentile is a noun that means a Christian as contrasted with a Jew.","Use the word gentile to mean non-Jewish, like the gentile friend you invite to your family's Passover Seder because she's curious about Jewish religious traditions. When Gentile is a noun, it's usually capitalized, and it's most frequently used to contrast a Christian with a Jew. There are other religions that use the word gentile to describe a non-believer, including Mormonism and Hinduism. More generally, gentile refers to a person who doesn't acknowledge a particular god or belief. The root is the Latin gentilis, whose meaning of ""fellow countryman or family member"" changed over time to mean ""foreign, heathen, pagan.""",6,0.001122334
ez$(0%p.Eo,glorify,Apply the Meaning,,Which of the following would people be most likely to glorify?,a popular fast food restaurant | a courageous freedom fighter | a kindly nurse in a hospital | an inexpensive make of automobile,a courageous freedom fighter,"In this question, glorify is a verb that means to praise or honor.","To glorify is to praise or honor something or someone to an extreme degree. If you like someone, you might compliment or praise them, but glorifying takes that a step further. When something is glorified, it is praised to the highest degree possible. It seems right that great people like Martin Luther King and Gandhi are glorified. It can seem odd when athletes are glorified just for playing a game. Often this word is used in a negative sense. For example, a movie with lots of explosions could be said ""to glorify violence.""",6,0.001402525
c{Jd^i:}>8,convene,Apply the Meaning,,Which of the following is most likely to convene?,an air vent | a pack of feral dogs | a recluse | city council members,city council members,"In this question, convene is a verb that means to meet formally.","The verb convene is a somewhat formal way of saying ""to bring together for the purpose of a meeting."" Convene is one of those words that lend an air of formality to a situation. We use it in place of the words ""call a meeting"" for such situations as government assemblages, court hearings, and conferences. Its meaning can be easily seen in its history — it comes from the Latin con-, which means ""together,"" and the verb venīre, ""to come."" Imagine, if the syllables had just fit the music, the John Lennon song ""Come together,"" might have been called Convene.",1,0.011764706
z|OlwS/4kD,fallible,Fill in the Blank,,"Scheck says those DNA exonerations show how ________ the other tools of evidence used in those cases — eyewitnesses, snitches, even confessions — can be and therefore suggest the possibility of many more mistakes throughout the legal system.",premature | immune | fallible | revised,fallible,"In this question, fallible is an adjective that means likely to fail or make errors.","As humans we are all fallible, because fallible means likely to make errors or fail. Nobody's perfect, after all. Fall down on the job and you're fallible. It's a forgiving way to say you screwed up. If a scientific experiment's data is fallible, that means you can't trust the numbers. More than just locking your keys in the car, fallible can allude to a lack of moral strength. If in addition to locking your keys in the car, you kissed your best friend's husband, you might try using ""I'm fallible"" as your defense.",6,0.001424501
l$B]$(;|TY,coax,Apply the Meaning,,What might one say to coax a child?,"&quot;Please eat your dinner, my dear.&quot; | &quot;Do not even think about touching that dinner.&quot; | &quot;I am going to eat your dinner.&quot; | &quot;If you don't eat your dinner, I'm going to punish you.&quot;","&quot;Please eat your dinner, my dear.&quot;","In this question, coax is a verb that means to influence or urge by gentle urging, caressing, or flattering.","When you coax someone, you try to convince him gently, with pleasant words and maybe a little flattery. You’ll have to be patient, as you can’t rush someone you’re trying to coax. When you coax, you have to be nice about it – you can’t threaten or force. You put on a little charm and gently urge, so that the person or thing is happy about being coaxed. You might coax the runaway elephant back into the zoo by patting her gently and talking into her ear. If you wake up with a terrible bedhead, you might coax your hair back into place with the help of a little hair gel and a comb.",6,0.001264223
m&@~LCTN3e,passenger,Apply the Meaning,,Which of the following is a passenger?,a man cooking a tasty meal for his family | a woman taking the train home from work | a police officer stopping a car for speeding | a student taking a final exam at school,a woman taking the train home from work,"In this question, passenger is a noun that means a traveler riding in a vehicle but not operating it.","A passenger is a person who rides in a vehicle. If you grab a ride home from school with your best friend, you are a passenger in her car. Everyone riding in a train, plane, bus, or any other vehicle is a passenger — except the driver, pilot, or crew. A passenger's only job is to ride along. In the fourteenth century, a passenger was simply a ""passer-by,"" from the Old French passagier, ""passing, fleeting, or traveling."" The first instance of the modern use was recorded in the early 1500s.",2,0.006451613
v{!T[4!k#],frail,Fill in the Blank,,Wells’s nickname harks to when he looked ________ enough to snap like a string bean.,bruised | callous | frail | intense,frail,"In this question, frail is an adjective that means easily broken or damaged or destroyed.","Something that is delicate and fragile can be described as frail. Grandma's favorite vase is probably too frail to use for football practice; some of us have learned that the hard way. Frail can also be used to describe a person's physical condition: ""When I broke my grandmother's vase, she yelled in a voice so loud that it was hard to believe it was coming from her small, frail frame."" Another way to use frail is in reference to a person's emotional state. As the poet Sylvia Plath astutely observed, ""How frail the human heart must be.""",6,0.001510574
e}OQVtyxBV,producer,Fill in the Blank,,"Meanwhile, large tracts of fertile land, the application of modern technology, and subsidies have combined to make France the leading agricultural ________ in Western Europe.",equal | producer | commissioner | fancier,producer,"In this question, producer is a noun that means someone who manufactures something.","If you have the chance to travel to Brazil, you might get to visit the largest producer of coffee beans in the world. A producer is a maker or manufacturer of something. Since the 1500s, the word producer has been used to mean ""one who produces."" In the late 1800s it began to have a second meaning, ""someone who finances and supervises a show"". A movie producer oversees the making of films in various ways, including raising money, and a record producer does a similar job in the music industry, working with musicians. This kind of producer is more of a supervisor and adviser than the actual maker of the finished product.",3,0.003278689
B}S1fDSq<6,remorse,Apply the Meaning,,When would someone most likely feel remorse?,while sitting at a graduation ceremony | during a long vacation at the beach | after renewing one's marriage vows | after lying to a favorite teacher about cheating,after lying to a favorite teacher about cheating,"In this question, remorse is a noun that means a feeling of deep regret, usually for some misdeed.","Remorse, a noun, is what you feel if you regret your actions or wish for another outcome. The noun remorse has a very vivid origin. It comes from the Latin roots re for ""again"" and mordere ""to bite."" So, if you feel remorse, it means that your conscience is working on you, your past actions are biting you back, and making you feel very regretful. Synonyms for this word are ""penitence,"" ""rue,"" and ""contrition."" If you took a cookie from the cookie jar and ate it you can't return it; all you can feel is remorse for what you did!",4,0.00234192
d6i+3&(JL>,facile,Fill in the Blank,,"There’s something in that response that challenges ________, superficial assumptions.",arctic | ravenous | facile | gnarled,facile,"In this question, facile is an adjective that means arrived at without due care or effort; lacking depth.","If someone does something easily, or shows ease, it is described as facile in a good way, but if someone takes the easy way out and shows a lack of thought or care, it is facile in a bad way. While it is a lovely sounding French word, facile is both a compliment and an insult depending on how it's used. Something that shows ready skill is facile, such as being facile with text messaging. But if something is too simple and superficial, or shows little care, it can also be called facile, or lame. ""Being too cowardly to tell the truth and admit he didn't do it, he used the facile and sarcastic excuse that the dog ate his homework.""",3,0.004016064
